Año,Delito,id_dep,Departamento,Total delitos,Ratio
2013,ABIGEATO,2,ARTIGAS,51,65.81664257691513
2013,ABIGEATO,3,CANELONES,215,35.30609563846558
2013,ABIGEATO,4,CERRO LARGO,34,37.35401720482086
2013,ABIGEATO,5,COLONIA,12,8.836719515158656
2013,ABIGEATO,6,DURAZNO,62,99.98387356877922
2013,ABIGEATO,7,FLORES,15,57.097179399337676
2013,ABIGEATO,8,FLORIDA,76,108.0712132415676
2013,ABIGEATO,9,LAVALLEJA,25,42.248998698730844
2013,ABIGEATO,10,MALDONADO,43,20.192154174140896
2013,ABIGEATO,1,MONTEVIDEO,7,0.5372424114509382
2013,ABIGEATO,11,PAYSANDU,59,48.424957730757235
2013,ABIGEATO,12,RIO NEGRO,28,48.83323450416827
2013,ABIGEATO,13,RIVERA,64,58.55497305556318
2013,ABIGEATO,14,ROCHA,36,44.60413827282864
2013,ABIGEATO,15,SALTO,100,73.42413451301442
2013,ABIGEATO,16,SAN JOSE,33,27.56477722648223
2013,ABIGEATO,17,SORIANO,30,35.84914679030639
2013,ABIGEATO,18,TACUAREMBO,105,109.35677387102149
2013,ABIGEATO,19,TREINTA Y TRES,64,134.15784508961323
2013,HURTO,2,ARTIGAS,1784,2302.2919677885607
2013,HURTO,3,CANELONES,14914,2449.093536521282
2013,HURTO,4,CERRO LARGO,1211,1330.4622010305313
2013,HURTO,5,COLONIA,1881,1385.1557840011194
2013,HURTO,6,DURAZNO,1184,1909.369456539268
2013,HURTO,7,FLORES,843,3208.861482242777
2013,HURTO,8,FLORIDA,1476,2098.8567203230764
2013,HURTO,9,LAVALLEJA,1171,1978.9430990485528
2013,HURTO,10,MALDONADO,7038,3304.939094827991
2013,HURTO,1,MONTEVIDEO,50723,3892.9352622894203
2013,HURTO,11,PAYSANDU,4553,3736.929365222673
2013,HURTO,12,RIO NEGRO,617,1076.0752031811364
2013,HURTO,13,RIVERA,1236,1130.842917135564
2013,HURTO,14,ROCHA,1806,2237.640936686904
2013,HURTO,15,SALTO,3613,2652.813979955211
2013,HURTO,16,SAN JOSE,2465,2059.0053291902636
2013,HURTO,17,SORIANO,1955,2336.1693991683
2013,HURTO,18,TACUAREMBO,1549,1613.2727878686887
2013,HURTO,19,TREINTA Y TRES,1434,3005.9742165391467
2013,LESIONES,2,ARTIGAS,588,758.8271732397275
2013,LESIONES,3,CANELONES,1017,167.00604308985814
2013,LESIONES,4,CERRO LARGO,191,209.84168488590544
2013,LESIONES,5,COLONIA,147,108.24981406069352
2013,LESIONES,6,DURAZNO,270,435.41364296081275
2013,LESIONES,7,FLORES,99,376.8413840356286
2013,LESIONES,8,FLORIDA,167,237.47227120186565
2013,LESIONES,9,LAVALLEJA,197,332.922109745999
2013,LESIONES,10,MALDONADO,241,113.1699803713478
2013,LESIONES,1,MONTEVIDEO,4011,307.83990176138764
2013,LESIONES,11,PAYSANDU,222,182.20916298691705
2013,LESIONES,12,RIO NEGRO,52,90.69029265059821
2013,LESIONES,13,RIVERA,303,277.2212005599319
2013,LESIONES,14,ROCHA,130,161.0704993185479
2013,LESIONES,15,SALTO,558,409.70667058262046
2013,LESIONES,16,SAN JOSE,316,263.9536243505571
2013,LESIONES,17,SORIANO,244,291.5730605611586
2013,LESIONES,18,TACUAREMBO,443,461.38143642726214
2013,LESIONES,19,TREINTA Y TRES,174,364.741641337386
2013,RAPIÑA,2,ARTIGAS,31,40.00619450753665
2013,RAPIÑA,3,CANELONES,2436,400.026274303731
2013,RAPIÑA,4,CERRO LARGO,24,26.36754155634414
2013,RAPIÑA,5,COLONIA,41,30.19212501012541
2013,RAPIÑA,6,DURAZNO,23,37.090791807772945
2013,RAPIÑA,7,FLORES,8,30.45182901298009
2013,RAPIÑA,8,FLORIDA,30,42.65968943746089
2013,RAPIÑA,9,LAVALLEJA,49,82.80803744951245
2013,RAPIÑA,10,MALDONADO,268,125.8487748527851
2013,RAPIÑA,1,MONTEVIDEO,14565,1117.8479603975593
2013,RAPIÑA,11,PAYSANDU,82,67.30248362579819
2013,RAPIÑA,12,RIO NEGRO,24,41.85705814642994
2013,RAPIÑA,13,RIVERA,86,78.68324504341302
2013,RAPIÑA,14,ROCHA,23,28.49708834097386
2013,RAPIÑA,15,SALTO,118,86.64047872535703
2013,RAPIÑA,16,SAN JOSE,138,115.27088658347115
2013,RAPIÑA,17,SORIANO,52,62.13852110319774
2013,RAPIÑA,18,TACUAREMBO,24,24.995834027662056
2013,RAPIÑA,19,TREINTA Y TRES,13,27.250812283827692
2013,VIOLENCIA DOMÉSTICA,2,ARTIGAS,462,596.221350402643
2013,VIOLENCIA DOMÉSTICA,3,CANELONES,3337,547.9834471886495
2013,VIOLENCIA DOMÉSTICA,4,CERRO LARGO,447,491.0954614869096
2013,VIOLENCIA DOMÉSTICA,5,COLONIA,233,171.5796372526639
2013,VIOLENCIA DOMÉSTICA,6,DURAZNO,613,988.5502338332528
2013,VIOLENCIA DOMÉSTICA,7,FLORES,240,913.5548703894028
2013,VIOLENCIA DOMÉSTICA,8,FLORIDA,835,1187.3613560093283
2013,VIOLENCIA DOMÉSTICA,9,LAVALLEJA,390,659.0843797002011
2013,VIOLENCIA DOMÉSTICA,10,MALDONADO,1872,879.0630840463198
2013,VIOLENCIA DOMÉSTICA,1,MONTEVIDEO,10095,774.7803062281745
2013,VIOLENCIA DOMÉSTICA,11,PAYSANDU,1067,875.7530491308131
2013,VIOLENCIA DOMÉSTICA,12,RIO NEGRO,359,626.1118281070146
2013,VIOLENCIA DOMÉSTICA,13,RIVERA,1283,1173.8442254732431
2013,VIOLENCIA DOMÉSTICA,14,ROCHA,152,188.32858381860984
2013,VIOLENCIA DOMÉSTICA,15,SALTO,2000,1468.4826902602886
2013,VIOLENCIA DOMÉSTICA,16,SAN JOSE,1126,940.5436108187575
2013,VIOLENCIA DOMÉSTICA,17,SORIANO,473,565.2215477271641
2013,VIOLENCIA DOMÉSTICA,18,TACUAREMBO,722,751.9580069988335
2013,VIOLENCIA DOMÉSTICA,19,TREINTA Y TRES,582,1219.9979037836704
2014,ABIGEATO,2,ARTIGAS,65,83.88395622548008
2014,ABIGEATO,3,CANELONES,224,36.78402522333158
2014,ABIGEATO,4,CERRO LARGO,95,104.37151866052889
2014,ABIGEATO,5,COLONIA,10,7.36393292929888
2014,ABIGEATO,6,DURAZNO,58,93.53330108047089
2014,ABIGEATO,7,FLORES,12,45.677743519470134
2014,ABIGEATO,8,FLORIDA,83,118.02514077697514
2014,ABIGEATO,9,LAVALLEJA,44,74.35823770976627
2014,ABIGEATO,10,MALDONADO,51,23.94883402049269
2014,ABIGEATO,1,MONTEVIDEO,12,0.9209869910587513
2014,ABIGEATO,11,PAYSANDU,101,82.89696153909289
2014,ABIGEATO,12,RIO NEGRO,35,61.04154313021033
2014,ABIGEATO,13,RIVERA,80,73.19371631945398
2014,ABIGEATO,14,ROCHA,87,107.7933341593359
2014,ABIGEATO,15,SALTO,118,86.64047872535703
2014,ABIGEATO,16,SAN JOSE,40,33.41185118361483
2014,ABIGEATO,17,SORIANO,33,39.43406146933703
2014,ABIGEATO,18,TACUAREMBO,99,103.10781536410599
2014,ABIGEATO,19,TREINTA Y TRES,64,134.15784508961323
2014,HURTO,2,ARTIGAS,1829,2360.3654759446626
2014,HURTO,3,CANELONES,15885,2608.5457172884917
2014,HURTO,4,CERRO LARGO,1620,1779.8090550532295
2014,HURTO,5,COLONIA,1654,1217.9945065060347
2014,HURTO,6,DURAZNO,1484,2393.1623931623935
2014,HURTO,7,FLORES,834,3174.6031746031745
2014,HURTO,8,FLORIDA,1459,2074.682896308515
2014,HURTO,9,LAVALLEJA,1263,2134.419414259882
2014,HURTO,10,MALDONADO,8654,4063.788423791054
2014,HURTO,1,MONTEVIDEO,48944,3756.3989408649604
2014,HURTO,11,PAYSANDU,4154,3409.445329043484
2014,HURTO,12,RIO NEGRO,982,1712.6512958247586
2014,HURTO,13,RIVERA,1565,1431.8520754993183
2014,HURTO,14,ROCHA,3646,4517.408003964812
2014,HURTO,15,SALTO,3686,2706.413598149712
2014,HURTO,16,SAN JOSE,3012,2515.9123941261964
2014,HURTO,17,SORIANO,1796,2146.168921179676
2014,HURTO,18,TACUAREMBO,1780,1853.8576903849357
2014,HURTO,19,TREINTA Y TRES,1755,3678.859658316738
2014,LESIONES,2,ARTIGAS,475,612.9981416477391
2014,LESIONES,3,CANELONES,1446,237.45401996847085
2014,LESIONES,4,CERRO LARGO,250,274.6618912119181
2014,LESIONES,5,COLONIA,87,64.06621648490025
2014,LESIONES,6,DURAZNO,266,428.9630704725044
2014,LESIONES,7,FLORES,69,262.6470252369533
2014,LESIONES,8,FLORIDA,241,342.6995051476025
2014,LESIONES,9,LAVALLEJA,167,282.223311307522
2014,LESIONES,10,MALDONADO,516,242.30585008969072
2014,LESIONES,1,MONTEVIDEO,3920,300.8557504125254
2014,LESIONES,11,PAYSANDU,391,320.91794021569626
2014,LESIONES,12,RIO NEGRO,139,242.42212843140675
2014,LESIONES,13,RIVERA,439,401.65051830300365
2014,LESIONES,14,ROCHA,301,372.94015611448395
2014,LESIONES,15,SALTO,623,457.4323580160799
2014,LESIONES,16,SAN JOSE,314,262.2830317913764
2014,LESIONES,17,SORIANO,176,210.31499450313083
2014,LESIONES,18,TACUAREMBO,448,466.5889018496917
2014,LESIONES,19,TREINTA Y TRES,200,419.2432659050414
2014,RAPIÑA,2,ARTIGAS,29,37.4251497005988
2014,RAPIÑA,3,CANELONES,2402,394.44298476090387
2014,RAPIÑA,4,CERRO LARGO,39,42.84725502905923
2014,RAPIÑA,5,COLONIA,36,26.510158545475967
2014,RAPIÑA,6,DURAZNO,49,79.01951298177714
2014,RAPIÑA,7,FLORES,11,41.87126489284763
2014,RAPIÑA,8,FLORIDA,46,65.41152380410671
2014,RAPIÑA,9,LAVALLEJA,54,91.25783718925861
2014,RAPIÑA,10,MALDONADO,363,170.45934802821267
2014,RAPIÑA,1,MONTEVIDEO,16473,1264.2848919759008
2014,RAPIÑA,11,PAYSANDU,94,77.15162757103695
2014,RAPIÑA,12,RIO NEGRO,19,33.136837699257036
2014,RAPIÑA,13,RIVERA,113,103.38612430122875
2014,RAPIÑA,14,ROCHA,60,74.34023045471442
2014,RAPIÑA,15,SALTO,94,69.01868644223356
2014,RAPIÑA,16,SAN JOSE,140,116.9414791426519
2014,RAPIÑA,17,SORIANO,54,64.5284642225515
2014,RAPIÑA,18,TACUAREMBO,31,32.286285619063484
2014,RAPIÑA,19,TREINTA Y TRES,15,31.443244942878103
2014,VIOLENCIA DOMÉSTICA,2,ARTIGAS,565,729.1451579599421
2014,VIOLENCIA DOMÉSTICA,3,CANELONES,4513,741.0995796111404
2014,VIOLENCIA DOMÉSTICA,4,CERRO LARGO,718,788.8289515606289
2014,VIOLENCIA DOMÉSTICA,5,COLONIA,92,67.7481829495497
2014,VIOLENCIA DOMÉSTICA,6,DURAZNO,536,864.3767134333171
2014,VIOLENCIA DOMÉSTICA,7,FLORES,313,1191.4278101328462
2014,VIOLENCIA DOMÉSTICA,8,FLORIDA,691,982.5948467095159
2014,VIOLENCIA DOMÉSTICA,9,LAVALLEJA,510,861.8795734541092
2014,VIOLENCIA DOMÉSTICA,10,MALDONADO,1811,850.4184002178874
2014,VIOLENCIA DOMÉSTICA,1,MONTEVIDEO,10590,812.771019609348
2014,VIOLENCIA DOMÉSTICA,11,PAYSANDU,1426,1170.4066054925393
2014,VIOLENCIA DOMÉSTICA,12,RIO NEGRO,377,657.504621716837
2014,VIOLENCIA DOMÉSTICA,13,RIVERA,1282,1172.92930401925
2014,VIOLENCIA DOMÉSTICA,14,ROCHA,562,696.3201585924917
2014,VIOLENCIA DOMÉSTICA,15,SALTO,2017,1480.964793127501
2014,VIOLENCIA DOMÉSTICA,16,SAN JOSE,1306,1090.8969411450241
2014,VIOLENCIA DOMÉSTICA,17,SORIANO,513,613.0204101142392
2014,VIOLENCIA DOMÉSTICA,18,TACUAREMBO,907,944.6342276287285
2014,VIOLENCIA DOMÉSTICA,19,TREINTA Y TRES,658,1379.3103448275863
2015,ABIGEATO,2,ARTIGAS,63,81.30291141854222
2015,ABIGEATO,3,CANELONES,286,46.96531791907514
2015,ABIGEATO,4,CERRO LARGO,98,107.66746135507191
2015,ABIGEATO,5,COLONIA,85,62.59342989904048
2015,ABIGEATO,6,DURAZNO,78,125.78616352201257
2015,ABIGEATO,7,FLORES,28,106.58140154543032
2015,ABIGEATO,8,FLORIDA,133,189.1246231727433
2015,ABIGEATO,9,LAVALLEJA,53,89.56787724130938
2015,ABIGEATO,10,MALDONADO,42,19.72256919334692
2015,ABIGEATO,1,MONTEVIDEO,11,0.8442380751371886
2015,ABIGEATO,11,PAYSANDU,83,68.12324562123476
2015,ABIGEATO,12,RIO NEGRO,33,57.55345495134117
2015,ABIGEATO,13,RIVERA,74,67.70418759549493
2015,ABIGEATO,14,ROCHA,121,149.91946475034072
2015,ABIGEATO,15,SALTO,88,64.6132383714527
2015,ABIGEATO,16,SAN JOSE,51,42.60011025910891
2015,ABIGEATO,17,SORIANO,91,108.74241193059605
2015,ABIGEATO,18,TACUAREMBO,84,87.4854190968172
2015,ABIGEATO,19,TREINTA Y TRES,66,138.35027774866367
2015,HURTO,2,ARTIGAS,2234,2883.027049349577
2015,HURTO,3,CANELONES,17211,2826.2940094587493
2015,HURTO,4,CERRO LARGO,1984,2179.7167686577823
2015,HURTO,5,COLONIA,2746,2022.1359823854725
2015,HURTO,6,DURAZNO,1627,2623.770359619416
2015,HURTO,7,FLORES,851,3239.313311255757
2015,HURTO,8,FLORIDA,1870,2659.1206416017294
2015,HURTO,9,LAVALLEJA,1560,2636.3375188008044
2015,HURTO,10,MALDONADO,8245,3871.728166646318
2015,HURTO,1,MONTEVIDEO,47150,3618.711385701677
2015,HURTO,11,PAYSANDU,4835,3968.3842479357836
2015,HURTO,12,RIO NEGRO,1165,2031.8113641912869
2015,HURTO,13,RIVERA,1771,1620.3258950219124
2015,HURTO,14,ROCHA,4233,5244.703258580102
2015,HURTO,15,SALTO,3884,2851.79338448548
2015,HURTO,16,SAN JOSE,3201,2673.7833909687765
2015,HURTO,17,SORIANO,1964,2346.924143205392
2015,HURTO,18,TACUAREMBO,1374,1431.0114980836527
2015,HURTO,19,TREINTA Y TRES,1463,3066.764490095378
2015,LESIONES,2,ARTIGAS,463,597.5118728061119
2015,LESIONES,3,CANELONES,1571,257.9808197582764
2015,LESIONES,4,CERRO LARGO,293,321.90373650036804
2015,LESIONES,5,COLONIA,179,131.81439943444994
2015,LESIONES,6,DURAZNO,264,425.7377842283503
2015,LESIONES,7,FLORES,56,213.16280309086065
2015,LESIONES,8,FLORIDA,219,311.4157328934645
2015,LESIONES,9,LAVALLEJA,163,275.4634715157251
2015,LESIONES,10,MALDONADO,433,203.33029668379086
2015,LESIONES,1,MONTEVIDEO,3982,305.6141831996623
2015,LESIONES,11,PAYSANDU,406,333.2293701472447
2015,LESIONES,12,RIO NEGRO,157,273.81492204122924
2015,LESIONES,13,RIVERA,441,403.48036121099
2015,LESIONES,14,ROCHA,369,457.19241729649366
2015,LESIONES,15,SALTO,532,390.61639560923675
2015,LESIONES,16,SAN JOSE,345,288.1772164586779
2015,LESIONES,17,SORIANO,223,266.47865780794416
2015,LESIONES,18,TACUAREMBO,418,435.34410931511417
2015,LESIONES,19,TREINTA Y TRES,175,366.8378576669112
2015,RAPIÑA,2,ARTIGAS,35,45.16828412141235
2015,RAPIÑA,3,CANELONES,2797,459.30767209668943
2015,RAPIÑA,4,CERRO LARGO,34,37.35401720482086
2015,RAPIÑA,5,COLONIA,51,37.556057939424285
2015,RAPIÑA,6,DURAZNO,29,46.766650540235446
2015,RAPIÑA,7,FLORES,14,53.29070077271516
2015,RAPIÑA,8,FLORIDA,29,41.23769978954553
2015,RAPIÑA,9,LAVALLEJA,44,74.35823770976627
2015,RAPIÑA,10,MALDONADO,251,117.86583017928754
2015,RAPIÑA,1,MONTEVIDEO,17217,1321.3860854215434
2015,RAPIÑA,11,PAYSANDU,79,64.84019763948851
2015,RAPIÑA,12,RIO NEGRO,14,24.416617252084134
2015,RAPIÑA,13,RIVERA,118,107.96073157119461
2015,RAPIÑA,14,ROCHA,74,91.68628422748111
2015,RAPIÑA,15,SALTO,74,54.33385953963068
2015,RAPIÑA,16,SAN JOSE,215,179.5887001119297
2015,RAPIÑA,17,SORIANO,73,87.23292385641221
2015,RAPIÑA,18,TACUAREMBO,22,22.912847858690217
2015,RAPIÑA,19,TREINTA Y TRES,21,44.02054292002935
2015,VIOLENCIA DOMÉSTICA,2,ARTIGAS,557,718.8209787321908
2015,VIOLENCIA DOMÉSTICA,3,CANELONES,4748,779.6899632159748
2015,VIOLENCIA DOMÉSTICA,4,CERRO LARGO,733,805.3086650333439
2015,VIOLENCIA DOMÉSTICA,5,COLONIA,630,463.9277745458295
2015,VIOLENCIA DOMÉSTICA,6,DURAZNO,584,941.7835832930172
2015,VIOLENCIA DOMÉSTICA,7,FLORES,346,1317.041604811389
2015,VIOLENCIA DOMÉSTICA,8,FLORIDA,782,1111.995904669814
2015,VIOLENCIA DOMÉSTICA,9,LAVALLEJA,536,905.8185321007892
2015,VIOLENCIA DOMÉSTICA,10,MALDONADO,2149,1009.1381237262508
2015,VIOLENCIA DOMÉSTICA,1,MONTEVIDEO,10900,836.5631835450324
2015,VIOLENCIA DOMÉSTICA,11,PAYSANDU,1430,1173.6896534742857
2015,VIOLENCIA DOMÉSTICA,12,RIO NEGRO,410,715.0580766681782
2015,VIOLENCIA DOMÉSTICA,13,RIVERA,1186,1085.0968444359053
2015,VIOLENCIA DOMÉSTICA,14,ROCHA,826,1023.4171725932351
2015,VIOLENCIA DOMÉSTICA,15,SALTO,2118,1555.1231689856456
2015,VIOLENCIA DOMÉSTICA,16,SAN JOSE,1390,1161.0618286306153
2015,VIOLENCIA DOMÉSTICA,17,SORIANO,563,672.7689880980832
2015,VIOLENCIA DOMÉSTICA,18,TACUAREMBO,901,938.3852691218132
2015,VIOLENCIA DOMÉSTICA,19,TREINTA Y TRES,579,1213.709254795095
2016,ABIGEATO,2,ARTIGAS,82,105.82283708445179
2016,ABIGEATO,3,CANELONES,241,39.57566999474514
2016,ABIGEATO,4,CERRO LARGO,103,113.16069917931028
2016,ABIGEATO,5,COLONIA,63,46.39277745458294
2016,ABIGEATO,6,DURAZNO,119,191.90453152717305
2016,ABIGEATO,7,FLORES,35,133.2267519317879
2016,ABIGEATO,8,FLORIDA,98,139.3549854957056
2016,ABIGEATO,9,LAVALLEJA,79,133.50683588798947
2016,ABIGEATO,10,MALDONADO,26,12.209209500643333
2016,ABIGEATO,1,MONTEVIDEO,10,0.7674891592156261
2016,ABIGEATO,11,PAYSANDU,82,67.30248362579819
2016,ABIGEATO,12,RIO NEGRO,43,74.99389584568698
2016,ABIGEATO,13,RIVERA,48,43.916229791672386
2016,ABIGEATO,14,ROCHA,118,146.202453227605
2016,ABIGEATO,15,SALTO,100,73.42413451301442
2016,ABIGEATO,16,SAN JOSE,57,47.61188793665113
2016,ABIGEATO,17,SORIANO,150,179.24573395153197
